timestamp,x,y,z,qx,qy,qz,qw
1747135663.8048396,-0.2970282827147858,0.016656018558341805,-0.027152576557033323,-0.0009479231012360535,0.004896010430797428,0.08925389716467023,0.9959964218633389
1747135663.8071063,-0.29628604353509985,0.0167730869108161,-0.027067381589069375,-0.0009501800202090942,0.004882670539506366,0.08918752842421246,0.9960024304487978
1747135663.8091826,-0.2955306529105146,0.016892436008086924,-0.02699756762472458,-0.0009522298800128852,0.0048682266610108535,0.08912265176520792,0.9960083064762915
1747135663.810679,-0.2947619078908122,0.017014202570811397,-0.02691309138810015,-0.0009540882438294116,0.0048527094475334775,0.08905926882166855,0.9960140498826262
1747135663.8122907,-0.29398030944773657,0.017138203676992828,-0.026843480717331294,-0.000955744871150264,0.0048361157051745075,0.08899735572934456,0.9960196630638433
1747135663.8135135,-0.29318576800420926,0.01726453608262683,-0.026761015958650245,-0.0009572115057460516,0.004818465403707836,0.08893691428912935,0.9960251459747462
1747135663.8152719,-0.2923787233809927,0.017393045547221177,-0.02669297051910439,-0.0009584809959499368,0.004799760370903166,0.08887792215240066,0.9960305008223564
1747135663.8169808,-0.2915591152090258,0.017523808637645678,-0.026613764644311838,-0.0009595628646707898,0.004780019347486301,0.08882038130715414,0.9960357275311956
1747135663.8200161,-0.29072733011806035,0.017656699182062863,-0.02670886883484433,-0.0009604829566292125,0.004759355650415662,0.08876427147666045,0.9960408275344443
1747135663.8218284,-0.2898824598266208,0.01779194341313009,-0.026638380704426128,-0.0009612021807671424,0.004737696948708057,0.0887097347016515,0.9960457887502725
1747135663.8242097,-0.28902698585464065,0.01792900306566309,-0.026728690877813967,-0.000961754875935126,0.004715033298579382,0.08865661265270283,0.9960506254812054
1747135663.830328,-0.28815840741529997,0.018068441492221237,-0.02666614818127165,-0.0009621203687495964,0.0046914490161175,0.08860504185702979,0.9960553253650317
1747135663.8372786,-0.2872796062092252,0.018209612430534892,-0.02691235576232694,-0.0009623473341929623,0.0046669696217974625,0.08855487221731113,0.9960599017572855
1747135663.844852,-0.286387223448239,0.018353276015122523,-0.026861110371664148,-0.0009623794995697942,0.004641620109560625,0.08850638156971356,0.9960643300559927
1747135663.8577826,-0.2854860694041929,0.018498366133410556,-0.027094084783693472,-0.0009622638906449267,0.0046152926583193105,0.08845927881043887,0.9960686367486028
1747135663.8605585,-0.28457140616794985,0.018645972514060846,-0.027051567743366808,-0.000961970183018706,0.004588163908060068,0.08841382840857845,0.9960727976967638
1747135663.9836333,-0.28364823650548937,0.018794933454676428,-0.02743213359611195,-0.0009615535796478443,0.004560165460479208,0.08836975392420496,0.9960768378478951
