timestamp,distance
1747135663.8060083,2.286407154211819
1747135663.8230448,2.2791351894761207
1747135663.8400812,2.2766131393733477
1747135663.8571177,2.275181298454042
1747135663.874154,2.2741070892155126
1747135663.8911905,2.27397791361508
1747135663.908227,2.2738487401321987
1747135663.9252634,2.27371956876723
1747135663.9422998,2.2735903995205353
1747135663.9593363,2.2734612323924757
1747135663.9763727,2.273332067383411
1747135663.9934092,2.2729644981830743
1747135664.0104456,2.2724199342341818
1747135664.027482,2.271092467315959
1747135664.0445185,2.269238663855391
1747135664.061555,2.268616812429187
1747135664.0785913,2.2677826789809883
1747135664.0956278,2.2665844827434993
1747135664.1126642,2.26432258380659
1747135664.1297007,2.2638448438875596
1747135664.146737,2.263367115207274
1747135664.1637735,2.2620811118193735
1747135664.18081,2.260713126670337
1747135664.1978464,2.2589072431489687
1747135664.2148829,2.25763361011883
1747135664.2319193,2.255655863141027
1747135664.2489557,2.253954291470535
1747135664.2659922,2.253492114453998
1747135664.2830286,2.253317341032803
1747135664.300065,2.2531425688617386
1747135664.3171015,2.2529677979410954
1747135664.334138,2.2527930282711632
1747135664.3511744,2.2526182598522353
1747135664.3682108,2.2522091632951504
1747135664.3852472,2.251346938820158
1747135664.4022837,2.2485171006031166
1747135664.41932,2.247066486645556
1747135664.4363565,2.245473103618098
1747135664.453393,2.24505641196726
1747135664.4704294,2.2446397743762785
1747135664.4874659,2.2426675652621095
1747135664.5045023,2.241865224091728
1747135664.5215387,2.2416040911462267
1747135664.5385752,2.2413429589832967
1747135664.5556116,2.2410818276032103
1747135664.572648,2.2406297814066476
1747135664.5896845,2.237521178145562
1747135664.606721,2.2351194741436133
1747135664.6237574,2.232987595283905
1747135664.6407938,2.231107544230649
1747135664.6578302,2.229545326675019
1747135664.6748667,2.2293236272414987
1747135664.691903,2.22910192900597
1747135664.7089396,2.228880231968789
1747135664.725976,2.228658536130314
1747135664.7430124,2.2284368414909035
1747135664.7600489,2.227896260653078
1747135664.7770853,2.2265195563763616
1747135664.7941217,2.224830168468226
1747135664.8111582,2.222471105696292
1747135664.8281946,2.220411928868059
1747135664.845231,2.218074446299238
1747135664.8622675,2.216180613544582
1747135664.879304,2.2151850604663084
1747135664.8963404,2.2129699897668913
1747135664.9133768,2.210966710310124
1747135664.9304132,2.208575790951306
1747135664.9474497,2.2076368733956753
1747135664.9644861,2.205200246234193
1747135664.9815226,2.2016596642995463
1747135664.998559,2.20144135846749
1747135665.0155954,2.201223057019824
1747135665.0326319,2.2010047599578537
1747135665.0496683,2.200786467282884
1747135665.0667048,2.2005681789962197
1747135665.0837412,2.2003498950991673
1747135665.1007776,2.1991804047478207
1747135665.117814,2.196716593477326
1747135665.1348505,2.1943189565598873
1747135665.151887,2.1916474642198653
1747135665.1689234,2.189727229501094
1747135665.1859598,2.187068104692234
1747135665.2029963,2.1855365250675027
1747135665.2200327,2.183734475501409
1747135665.2370691,2.1805641928121355
1747135665.2541056,2.177949368333198
1747135665.271142,2.1755466446506326
1747135665.2881784,2.1732055982727747
1747135665.305215,2.1706362805665367
1747135665.3222513,2.1703874342432496
1747135665.3392878,2.170138600845797
1747135665.3563242,2.169889780378624
1747135665.3733606,2.16964097284618
1747135665.390397,2.1693921782529144
1747135665.4074335,2.1691433966032814
1747135665.42447,2.1660423098960413
1747135665.4415064,2.163531642362738
1747135665.4585428,2.160604118820467
1747135665.4755793,2.1586947520731354
1747135665.4926157,2.1568171333632824
1747135665.5096521,2.1537505352661337
1747135665.5266886,2.1525890113061696
1747135665.543725,2.150130036524746
1747135665.5607615,2.1469200212470056
1747135665.577798,2.144004401269417
1747135665.5948343,2.1416936481727142
1747135665.6118708,2.1388455141581915
1747135665.6289072,2.137537292618522
1747135665.6459436,2.1372586179839863
1747135665.66298,2.136979961480531
1747135665.6800165,2.136701323115251
1747135665.697053,2.136422702895243
1747135665.7140894,2.1361441008276065
1747135665.7311258,2.134246913567453
1747135665.7481623,2.1319012321502133
1747135665.7651987,2.1292538412403523
1747135665.7822351,2.1262659729347426
1747135665.7992716,2.1237989677938285
1747135665.816308,2.1210139315036662
1747135665.8333445,2.1203772469778643
1747135665.850381,2.119783917128794
1747135665.8674173,2.117901727126089
1747135665.8844538,2.1156918806002776
1747135665.9014902,2.112697759564894
1747135665.9185266,2.111055604887284
1747135665.935563,2.1095038437379126
1747135665.9525995,2.1079608684756
1747135665.969636,2.1076489437092856
1747135665.9866724,2.107477423660916
1747135666.0037088,2.107305923538626
1747135666.0207453,2.1071344433472796
1747135666.0377817,2.1069629830917447
